Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event;Time_s;Age
973;00:00:22.450000;Marie-José Pérec;FRA;1968-05-09;1.0;Koblenz;1992-08-26;Women;200 m;22.45;24.315068493150687
973;00:00:22.450000;Mary Onyali;NGR;1968-02-03;3.0;Bruxelles;1993-09-03;Women;200 m;22.45;25.6
973;00:00:22.450000;Irina Privalova;RUS;1968-11-12;2.0;Fukuoka;1993-09-18;Women;200 m;22.45;24.865753424657534
973;00:00:22.450000;Melanie Paschke;GER;1970-06-29;1.0;Erfurt;1994-07-03;Women;200 m;22.45;24.027397260273972
973;00:00:22.450000;Silke Knoll;GER;1967-02-21;1.0;Villeneuve d'Ascq;1995-06-25;Women;200 m;22.45;28.35890410958904
973;00:00:22.450000;Carlette Guidry;USA;1968-09-04;5.0;Monaco;1995-07-25;Women;200 m;22.45;26.904109589041095
973;00:00:22.450000;Galina Malchugina;RUS;1962-12-17;2.0;Göteborg;1995-08-10;Women;200 m;22.45;32.66849315068493
973;00:00:22.450000;Inger Miller;USA;1972-06-12;3.0;Atlanta;1996-06-22;Women;200 m;22.45;24.043835616438358
973;00:00:22.450000;Galina Malchugina;RUS;1962-12-17;5.0;Atlanta;1996-08-01;Women;200 m;22.45;33.64657534246575
973;00:00:22.450000;Melinda Gainsford-Taylor;AUS;1971-10-01;1.0;Athínai;1997-08-06;Women;200 m;22.45;25.865753424657534
973;00:00:22.450000;Beverly McDonald;JAM;1970-02-15;1.0;Luzern;1998-07-02;Women;200 m;22.45;28.394520547945206
973;00:00:22.450000;Debbie Ferguson-McKenzie;BAH;1976-01-16;4.0;Roma;1999-07-07;Women;200 m;22.45;23.487671232876714
973;00:00:22.450000;Marion Jones;USA;1975-10-12;1.0;Sevilla;1999-08-24;Women;200 m;22.45;23.882191780821916
973;00:00:22.450000;Fatima Yusuf;NGR;1971-05-02;1.0;Johannesburg;1999-09-18;Women;200 m;22.45;28.4
973;00:00:22.450000;Susanthika Jayasinghe;SRI;1975-12-17;2.0;Sydney;2000-09-28;Women;200 m;22.45;24.8
973;00:00:22.450000;Torri Edwards;USA;1977-01-31;2.0;Palo Alto;2003-06-22;Women;200 m;22.45;26.405479452054795
973;00:00:22.450000;Cydonie Mothersille;CAY;1978-03-19;1.0;Saint George´s;2003-07-06;Women;200 m;22.45;25.315068493150687
973;00:00:22.450000;Christine Arron;FRA;1973-09-13;1.0;Helsinki;2005-08-11;Women;200 m;22.45;31.931506849315067
973;00:00:22.450000;Simone Facey;JAM;1985-05-07;2.0;Boulder;2008-05-18;Women;200 m;22.45;23.046575342465754
973;00:00:22.450000;Debbie Ferguson-McKenzie;BAH;1976-01-16;4.0;Thessaloníki;2009-09-12;Women;200 m;22.45;33.679452054794524
973;00:00:22.450000;Cydonie Mothersille;CAY;1978-03-19;2.0;Shanghai;2009-09-20;Women;200 m;22.45;31.528767123287672
973;00:00:22.450000;Debbie Ferguson-McKenzie;BAH;1976-01-16;3.0;Shanghai;2009-09-20;Women;200 m;22.45;33.701369863013696
973;00:00:22.450000;Tameka Williams;SKN;1989-08-31;1.0;Basse Terre;2012-06-03;Women;200 m;22.45;22.77260273972603
973;00:00:22.450000;Shaunae Miller-Uibo;BAH;1994-04-15;2.0;Nassau;2013-06-22;Women;200 m;22.45;19.2
973;00:00:22.450000;Dezerea Bryant;USA;1993-04-27;1.0;Jacksonville;2015-05-30;Women;200 m;22.45;22.104109589041094
973;00:00:22.450000;Dafne Schippers;NED;1992-06-15;1.0;Iráklio;2015-06-21;Women;200 m;22.45;23.03013698630137
973;00:00:22.450000;Candyce McGrone;USA;1989-03-24;1.0;Beijing;2015-08-26;Women;200 m;22.45;26.44109589041096
973;00:00:22.450000;Deajah Stevens;USA;1995-05-19;1.0;Eugene;2016-07-09;Women;200 m;22.45;21.156164383561645
973;00:00:22.450000;Deajah Stevens;USA;1995-05-19;1.0;Rio de Janeiro;2016-08-15;Women;200 m;22.45;21.257534246575343
973;00:00:22.450000;Dafne Schippers;NED;1992-06-15;2.0;Ad-Dawhah;2017-05-05;Women;200 m;22.45;24.904109589041095
1;00:00:19.190000;Usain Bolt;JAM;1986-08-21;1.0;Berlin;2009-08-20;Men;200 m;19.19;23.013698630136986
2;00:00:19.260000;Yohan Blake;JAM;1989-12-26;1.0;Bruxelles;2011-09-16;Men;200 m;19.26;21.736986301369864
3;00:00:19.300000;Usain Bolt;JAM;1986-08-21;1.0;Beijing;2008-08-20;Men;200 m;19.3;22.013698630136986
4;00:00:19.320000;Michael Johnson;USA;1967-09-13;1.0;Atlanta;1996-08-01;Men;200 m;19.32;28.904109589041095
4;00:00:19.320000;Usain Bolt;JAM;1986-08-21;1.0;London;2012-08-09;Men;200 m;19.32;25.986301369863014
6;00:00:19.400000;Usain Bolt;JAM;1986-08-21;1.0;Daegu;2011-09-03;Men;200 m;19.4;25.052054794520547
7;00:00:19.440000;Yohan Blake;JAM;1989-12-26;2.0;London;2012-08-09;Men;200 m;19.44;22.635616438356163
8;00:00:19.530000;Walter Dix;USA;1986-01-31;2.0;Bruxelles;2011-09-16;Men;200 m;19.53;25.64109589041096
9;00:00:19.540000;Yohan Blake;JAM;1989-12-26;1.0;Bruxelles;2012-09-07;Men;200 m;19.54;22.715068493150685
10;00:00:19.550000;Usain Bolt;JAM;1986-08-21;1.0;Beijing;2015-08-27;Men;200 m;19.55;29.035616438356165
11;00:00:19.560000;Usain Bolt;JAM;1986-08-21;1.0;Kingston;2010-05-01;Men;200 m;19.56;23.70958904109589
12;00:00:19.570000;Usain Bolt;JAM;1986-08-21;1.0;Bruxelles;2009-09-04;Men;200 m;19.57;23.054794520547944
12;00:00:19.570000;Justin Gatlin;USA;1982-02-10;1.0;Eugene;2015-06-28;Men;200 m;19.57;33.4
14;00:00:19.580000;Tyson Gay;USA;1982-08-09;1.0;New York City;2009-05-30;Men;200 m;19.58;26.824657534246576
14;00:00:19.580000;Usain Bolt;JAM;1986-08-21;1.0;Lausanne;2012-08-23;Men;200 m;19.58;26.024657534246575
16;00:00:19.590000;Usain Bolt;JAM;1986-08-21;1.0;Lausanne;2009-07-07;Men;200 m;19.59;22.893150684931506
17;00:00:19.620000;Tyson Gay;USA;1982-08-09;1.0;Indianapolis;2007-06-24;Men;200 m;19.62;24.89041095890411
18;00:00:19.630000;Xavier Carter;USA;1985-12-08;1.0;Lausanne;2006-07-11;Men;200 m;19.63;20.602739726027398
18;00:00:19.630000;Usain Bolt;JAM;1986-08-21;1.0;Lausanne;2008-09-02;Men;200 m;19.63;22.04931506849315
20;00:00:19.650000;Wallace Spearmon;USA;1984-12-24;1.0;Daegu;2006-09-28;Men;200 m;19.65;21.775342465753425
21;00:00:19.660000;Michael Johnson;USA;1967-09-13;1.0;Atlanta;1996-06-23;Men;200 m;19.66;28.797260273972604
21;00:00:19.660000;Usain Bolt;JAM;1986-08-21;1.0;Zürich;2012-08-30;Men;200 m;19.66;26.043835616438358
21;00:00:19.660000;Usain Bolt;JAM;1986-08-21;1.0;Moskva;2013-08-17;Men;200 m;19.66;27.008219178082193
24;00:00:19.670000;Usain Bolt;JAM;1986-08-21;1.0;Athínai;2008-07-13;Men;200 m;19.67;21.90958904109589
25;00:00:19.680000;Frank Fredericks;NAM;1967-10-02;2.0;Atlanta;1996-08-01;Men;200 m;19.68;28.852054794520548
25;00:00:19.680000;Tyson Gay;USA;1982-08-09;1.0;Stuttgart;2006-09-10;Men;200 m;19.68;24.104109589041094
25;00:00:19.680000;Usain Bolt;JAM;1986-08-21;1.0;Thessaloníki;2009-09-13;Men;200 m;19.68;23.07945205479452
25;00:00:19.680000;Justin Gatlin;USA;1982-02-10;1.0;Monaco;2014-07-18;Men;200 m;19.68;32.45479452054794
25;00:00:19.680000;Justin Gatlin;USA;1982-02-10;1.0;Eugene;2015-05-30;Men;200 m;19.68;33.320547945205476
30;00:00:19.690000;Walter Dix;USA;1986-01-31;1.0;Gainesville;2007-05-26;Men;200 m;19.69;21.328767123287673
31;00:00:19.700000;Tyson Gay;USA;1982-08-09;2.0;Lausanne;2006-07-11;Men;200 m;19.7;23.936986301369863
31;00:00:19.700000;Walter Dix;USA;1986-01-31;2.0;Daegu;2011-09-03;Men;200 m;19.7;25.605479452054794
33;00:00:19.710000;Michael Johnson;USA;1967-09-13;1.0;Pietersburg;2000-03-18;Men;200 m;19.71;32.534246575342465
33;00:00:19.710000;Justin Gatlin;USA;1982-02-10;1.0;Bruxelles;2014-09-05;Men;200 m;19.71;32.58904109589041
35;00:00:19.720000;Pietro Mennea;ITA;1952-06-28;1.0;Ciudad de México;1979-09-12;Men;200 m;19.72;27.224657534246575
35;00:00:19.720000;Walter Dix;USA;1986-01-31;1.0;Eugene;2010-07-03;Men;200 m;19.72;24.435616438356163
35;00:00:19.720000;Tyson Gay;USA;1982-08-09;1.0;Monaco;2010-07-22;Men;200 m;19.72;27.96986301369863
38;00:00:19.730000;Michael Marsh;USA;1967-08-04;1.0;Barcelona;1992-08-05;Men;200 m;19.73;25.02191780821918
38;00:00:19.730000;Usain Bolt;JAM;1986-08-21;1.0;Saint-Denis;2013-07-06;Men;200 m;19.73;26.893150684931506
40;00:00:19.740000;Justin Gatlin;USA;1982-02-10;2.0;Beijing;2015-08-27;Men;200 m;19.74;33.56438356164384
40;00:00:19.740000;LaShawn Merritt;USA;1986-06-27;1.0;Eugene;2016-07-08;Men;200 m;19.74;30.052054794520547
42;00:00:19.750000;Carl Lewis;USA;1961-07-01;1.0;Indianapolis;1983-06-19;Men;200 m;19.75;21.980821917808218
42;00:00:19.750000;Joe DeLoach;USA;1967-06-05;1.0;Seoul;1988-09-28;Men;200 m;19.75;21.33150684931507
42;00:00:19.750000;Usain Bolt;JAM;1986-08-21;1.0;Kingston;2007-06-24;Men;200 m;19.75;20.854794520547944
42;00:00:19.750000;Justin Gatlin;USA;1982-02-10;1.0;Eugene;2016-07-09;Men;200 m;19.75;34.43287671232877
46;00:00:19.760000;Tyson Gay;USA;1982-08-09;1.0;Osaka;2007-08-30;Men;200 m;19.76;25.073972602739726
46;00:00:19.760000;Usain Bolt;JAM;1986-08-21;1.0;London;2008-07-26;Men;200 m;19.76;21.945205479452056
46;00:00:19.760000;Usain Bolt;JAM;1986-08-21;1.0;Shanghai;2010-05-23;Men;200 m;19.76;23.76986301369863
46;00:00:19.760000;Tyson Gay;USA;1982-08-09;2.0;Eugene;2010-07-03;Men;200 m;19.76;27.91780821917808
50;00:00:19.770000;Michael Johnson;USA;1967-09-13;1.0;Stockholm;1996-07-08;Men;200 m;19.77;28.838356164383562
50;00:00:19.770000;Ato Boldon;TTO;1973-12-30;1.0;Stuttgart;1997-07-13;Men;200 m;19.77;23.55068493150685
52;00:00:19.780000;Tyson Gay;USA;1982-08-09;1.0;Lausanne;2007-07-10;Men;200 m;19.78;24.934246575342467
52;00:00:19.780000;Yohan Blake;JAM;1989-12-26;2.0;Monaco;2010-07-22;Men;200 m;19.78;20.583561643835615
52;00:00:19.780000;LaShawn Merritt;USA;1986-06-27;1.0;Nassau;2016-04-16;Men;200 m;19.78;29.824657534246576
52;00:00:19.780000;Usain Bolt;JAM;1986-08-21;1.0;Rio de Janeiro;2016-08-17;Men;200 m;19.78;30.01095890410959
52;00:00:19.780000;Usain Bolt;JAM;1986-08-21;1.0;Rio de Janeiro;2016-08-18;Men;200 m;19.78;30.013698630136986
57;00:00:19.790000;Carl Lewis;USA;1961-07-01;2.0;Seoul;1988-09-28;Men;200 m;19.79;27.263013698630136
57;00:00:19.790000;Michael Johnson;USA;1967-09-13;1.0;New Orleans;1992-06-28;Men;200 m;19.79;24.80821917808219
57;00:00:19.790000;Michael Johnson;USA;1967-09-13;1.0;Göteborg;1995-08-11;Men;200 m;19.79;27.92876712328767
57;00:00:19.790000;Shawn Crawford;USA;1978-01-14;1.0;Athínai;2004-08-26;Men;200 m;19.79;26.632876712328766
57;00:00:19.790000;Tyson Gay;USA;1982-08-09;1.0;Bruxelles;2006-08-25;Men;200 m;19.79;24.06027397260274
57;00:00:19.790000;Wallace Spearmon;USA;1984-12-24;1.0;Zürich;2010-08-19;Men;200 m;19.79;25.66849315068493
57;00:00:19.790000;Usain Bolt;JAM;1986-08-21;1.0;Oslo;2013-06-13;Men;200 m;19.79;26.83013698630137
57;00:00:19.790000;Warren Weir;JAM;1989-10-31;1.0;Kingston;2013-06-23;Men;200 m;19.79;23.660273972602738
57;00:00:19.790000;Warren Weir;JAM;1989-10-31;2.0;Moskva;2013-08-17;Men;200 m;19.79;23.81095890410959
57;00:00:19.790000;LaShawn Merritt;USA;1986-06-27;2.0;Eugene;2016-07-09;Men;200 m;19.79;30.054794520547944
67;00:00:19.800000;Carl Lewis;USA;1961-07-01;1.0;Los Angeles;1984-08-08;Men;200 m;19.8;23.12054794520548
67;00:00:19.800000;Ato Boldon;TTO;1973-12-30;3.0;Atlanta;1996-08-01;Men;200 m;19.8;22.602739726027398
67;00:00:19.800000;Christophe Lemaitre;FRA;1990-06-11;3.0;Daegu;2011-09-03;Men;200 m;19.8;21.243835616438357
67;00:00:19.800000;Yohan Blake;JAM;1989-12-26;1.0;Kingston;2012-07-01;Men;200 m;19.8;22.528767123287672
67;00:00:19.800000;Rasheed Dwyer;JAM;1989-01-29;1.0;Toronto;2015-07-23;Men;200 m;19.8;26.495890410958904
67;00:00:19.800000;Andre De Grasse;CAN;1994-11-10;2.0;Rio de Janeiro;2016-08-17;Men;200 m;19.8;21.783561643835615
73;00:00:19.810000;Frank Fredericks;NAM;1967-10-02;1.0;Fukuoka;1997-09-13;Men;200 m;19.81;29.96986301369863
73;00:00:19.810000;Alonso Edward;PAN;1989-12-08;2.0;Berlin;2009-08-20;Men;200 m;19.81;19.71232876712329
73;00:00:19.810000;Churandy Martina;NED;1984-07-03;1.0;Lausanne;2016-08-25;Men;200 m;19.81;32.16712328767123
76;00:00:19.820000;Carl Lewis;USA;1961-07-01;1.0;Sestriere;1988-08-11;Men;200 m;19.82;27.13150684931507
76;00:00:19.820000;Frank Fredericks;NAM;1967-10-02;1.0;Oslo;1996-07-05;Men;200 m;19.82;28.778082191780822
76;00:00:19.820000;Ato Boldon;TTO;1973-12-30;1.0;Stockholm;1997-07-07;Men;200 m;19.82;23.534246575342465
76;00:00:19.820000;Wallace Spearmon;USA;1984-12-24;1.0;New York City;2007-06-02;Men;200 m;19.82;22.45205479452055
76;00:00:19.820000;Warren Weir;JAM;1989-10-31;1.0;New York City;2014-06-14;Men;200 m;19.82;24.635616438356163
81;00:00:19.830000;Tommie Smith;USA;1944-06-12;1.0;Ciudad de México;1968-10-16;Men;200 m;19.83;24.361643835616437
81;00:00:19.830000;Michael Johnson;USA;1967-09-13;1.0;Atlanta;1996-05-18;Men;200 m;19.83;28.698630136986303
81;00:00:19.830000;Usain Bolt;JAM;1986-08-21;1.0;Ostrava;2008-06-12;Men;200 m;19.83;21.824657534246576
81;00:00:19.830000;Usain Bolt;JAM;1986-08-21;2.0;Kingston;2012-07-01;Men;200 m;19.83;25.87945205479452
85;00:00:19.840000;Carl Lewis;USA;1961-07-01;1.0;Los Angeles;1984-06-19;Men;200 m;19.84;22.983561643835618
85;00:00:19.840000;Francis Obikwelu;NGR;1978-11-22;1.0;Sevilla;1999-08-25;Men;200 m;19.84;20.76986301369863
85;00:00:19.840000;Tyson Gay;USA;1982-08-09;1.0;London;2006-07-28;Men;200 m;19.84;23.983561643835618
85;00:00:19.840000;Warren Weir;JAM;1989-10-31;3.0;London;2012-08-09;Men;200 m;19.84;22.78904109589041
85;00:00:19.840000;Alonso Edward;PAN;1989-12-08;1.0;Lausanne;2014-07-03;Men;200 m;19.84;24.583561643835615
90;00:00:19.850000;Michael Johnson;USA;1967-09-13;1.0;Edinburgh;1990-07-06;Men;200 m;19.85;22.827397260273973
90;00:00:19.850000;Frank Fredericks;NAM;1967-10-02;1.0;Stuttgart;1993-08-20;Men;200 m;19.85;25.9013698630137
90;00:00:19.850000;Ato Boldon;TTO;1973-12-30;1.0;Lausanne;1996-07-03;Men;200 m;19.85;22.523287671232875
90;00:00:19.850000;Michael Johnson;USA;1967-09-13;2.0;Oslo;1996-07-05;Men;200 m;19.85;28.83013698630137
90;00:00:19.850000;John Capel;USA;1978-11-27;1.0;Sacramento;2000-07-23;Men;200 m;19.85;21.66849315068493
90;00:00:19.850000;Shawn Crawford;USA;1978-01-14;1.0;Pretoria;2002-04-12;Men;200 m;19.85;24.257534246575343
90;00:00:19.850000;Konstadínos Kedéris;GRE;1973-07-11;1.0;München;2002-08-09;Men;200 m;19.85;29.0986301369863
90;00:00:19.850000;Wallace Spearmon;USA;1984-12-24;3.0;Berlin;2009-08-20;Men;200 m;19.85;24.671232876712327
90;00:00:19.850000;Wallace Spearmon;USA;1984-12-24;1.0;Rieti;2010-08-29;Men;200 m;19.85;25.695890410958903
90;00:00:19.850000;Churandy Martina;NED;1984-07-03;2.0;Lausanne;2012-08-23;Men;200 m;19.85;28.15890410958904
90;00:00:19.850000;Nickel Ashmeade;JAM;1990-04-07;2.0;Zürich;2012-08-30;Men;200 m;19.85;22.413698630136988
90;00:00:19.850000;Ameer Webb;USA;1989-12-21;1.0;Ad-Dawhah;2016-05-06;Men;200 m;19.85;26.39178082191781
102;00:00:19.860000;Donald Quarrie;JAM;1951-02-25;1.0;Cali;1971-08-03;Men;200 m;19.86;20.44931506849315
102;00:00:19.860000;Carl Lewis;USA;1961-07-01;1.0;Los Angeles;1984-06-21;Men;200 m;19.86;22.98904109589041
102;00:00:19.860000;Michael Marsh;USA;1967-08-04;2.0;New Orleans;1992-06-28;Men;200 m;19.86;24.91780821917808
102;00:00:19.860000;Maurice Greene;USA;1974-07-23;2.0;Stockholm;1997-07-07;Men;200 m;19.86;22.972602739726028
102;00:00:19.860000;Ato Boldon;TTO;1973-12-30;1.0;Athínai;1999-06-16;Men;200 m;19.86;25.476712328767125
102;00:00:19.860000;Walter Dix;USA;1986-01-31;1.0;Eugene;2008-07-06;Men;200 m;19.86;22.443835616438356
102;00:00:19.860000;Shawn Crawford;USA;1978-01-14;2.0;Eugene;2008-07-06;Men;200 m;19.86;30.495890410958904
102;00:00:19.860000;Walter Dix;USA;1986-01-31;1.0;Roma;2010-06-10;Men;200 m;19.86;24.372602739726027
102;00:00:19.860000;Walter Dix;USA;1986-01-31;1.0;Lausanne;2010-07-08;Men;200 m;19.86;24.44931506849315
102;00:00:19.860000;Yohan Blake;JAM;1989-12-26;2.0;Zürich;2010-08-19;Men;200 m;19.86;20.660273972602738
102;00:00:19.860000;Usain Bolt;JAM;1986-08-21;1.0;Oslo;2011-06-09;Men;200 m;19.86;24.816438356164383
102;00:00:19.860000;Jason Young;JAM;1991-03-21;1.0;Luzern;2012-07-17;Men;200 m;19.86;21.339726027397262
102;00:00:19.860000;Isiah Young;USA;1990-01-05;1.0;Des Moines;2013-06-23;Men;200 m;19.86;23.47945205479452
115;00:00:19.870000;Lorenzo Daniel;USA;1966-03-23;1.0;Eugene;1988-06-03;Men;200 m;19.87;22.213698630136985
115;00:00:19.870000;John Regis;GBR;1966-10-13;1.0;Sestriere;1994-07-31;Men;200 m;19.87;27.816438356164383
115;00:00:19.870000;Jeff Williams;USA;1965-12-31;1.0;Fresno;1996-04-13;Men;200 m;19.87;30.304109589041097
115;00:00:19.870000;Frank Fredericks;NAM;1967-10-02;1.0;Osaka;1999-05-08;Men;200 m;19.87;31.61917808219178
115;00:00:19.870000;John Capel;USA;1978-11-27;1.0;Boise;1999-06-05;Men;200 m;19.87;20.534246575342465
115;00:00:19.870000;Wallace Spearmon;USA;1984-12-24;1.0;Athínai;2006-09-17;Men;200 m;19.87;21.745205479452054
115;00:00:19.870000;Warren Weir;JAM;1989-10-31;1.0;Bruxelles;2013-09-06;Men;200 m;19.87;23.865753424657534
115;00:00:19.870000;Justin Gatlin;USA;1982-02-10;1.0;Beijing;2015-08-26;Men;200 m;19.87;33.56164383561644
115;00:00:19.870000;Anaso Jobodwana;RSA;1992-07-30;3.0;Beijing;2015-08-27;Men;200 m;19.87;23.09041095890411
115;00:00:19.870000;Alonso Edward;PAN;1989-12-08;4.0;Beijing;2015-08-27;Men;200 m;19.87;25.734246575342464
125;00:00:19.880000;Michael Johnson;USA;1967-09-13;1.0;Sestriere;1990-08-08;Men;200 m;19.88;22.91780821917808
125;00:00:19.880000;Michael Johnson;USA;1967-09-13;1.0;Barcelona;1991-09-20;Men;200 m;19.88;24.035616438356165
125;00:00:19.880000;Michael Marsh;USA;1967-08-04;2.0;Atlanta;1996-05-18;Men;200 m;19.88;28.80821917808219
125;00:00:19.880000;Ato Boldon;TTO;1973-12-30;1.0;Athínai;1998-06-17;Men;200 m;19.88;24.47945205479452
125;00:00:19.880000;Floyd Heard;USA;1966-03-24;2.0;Sacramento;2000-07-23;Men;200 m;19.88;34.35616438356164
125;00:00:19.880000;Joshua J. Johnson;USA;1976-05-10;1.0;Bruxelles;2001-08-24;Men;200 m;19.88;25.306849315068494
125;00:00:19.880000;Shawn Crawford;USA;1978-01-14;1.0;Sacramento;2004-07-16;Men;200 m;19.88;26.52054794520548
125;00:00:19.880000;Usain Bolt;JAM;1986-08-21;3.0;Lausanne;2006-07-11;Men;200 m;19.88;19.9013698630137
125;00:00:19.880000;Wallace Spearmon;USA;1984-12-24;2.0;Stuttgart;2006-09-10;Men;200 m;19.88;21.726027397260275
125;00:00:19.880000;Wallace Spearmon;USA;1984-12-24;1.0;Bruxelles;2007-09-14;Men;200 m;19.88;22.736986301369864
125;00:00:19.880000;Wallace Spearmon;USA;1984-12-24;1.0;Daegu;2007-10-03;Men;200 m;19.88;22.78904109589041
125;00:00:19.880000;Andre De Grasse;CAN;1994-11-10;1.0;Toronto;2015-07-24;Men;200 m;19.88;20.715068493150685
125;00:00:19.880000;Ramil Guliyev;TUR;1990-05-29;1.0;Zagreb;2015-09-08;Men;200 m;19.88;25.295890410958904
125;00:00:19.880000;Miguel Francis;ANT;1995-02-28;1.0;Kingston;2016-06-11;Men;200 m;19.88;21.2986301369863
139;00:00:19.890000;Michael Johnson;USA;1967-09-13;1.0;Bruxelles;1991-09-13;Men;200 m;19.89;24.016438356164382
139;00:00:19.890000;Maurice Greene;USA;1974-07-23;2.0;Stuttgart;1997-07-13;Men;200 m;19.89;22.98904109589041
139;00:00:19.890000;Claudinei Quirino da Silva;BRA;1970-11-19;1.0;München;1999-09-11;Men;200 m;19.89;28.83013698630137
139;00:00:19.890000;Michael Johnson;USA;1967-09-13;1.0;Sacramento;2000-07-22;Men;200 m;19.89;32.87945205479452
139;00:00:19.890000;Wallace Spearmon;USA;1984-12-24;1.0;London;2005-07-22;Men;200 m;19.89;20.589041095890412
139;00:00:19.890000;Usain Bolt;JAM;1986-08-21;2.0;New York City;2007-06-02;Men;200 m;19.89;20.794520547945204
139;00:00:19.890000;Wallace Spearmon;USA;1984-12-24;2.0;Indianapolis;2007-06-24;Men;200 m;19.89;22.512328767123286
139;00:00:19.890000;Jaysuma Saidy Ndure;NOR;1984-01-01;1.0;Stuttgart;2007-09-23;Men;200 m;19.89;23.742465753424657
139;00:00:19.890000;Shawn Crawford;USA;1978-01-14;4.0;Berlin;2009-08-20;Men;200 m;19.89;31.61917808219178
139;00:00:19.890000;Walter Dix;USA;1986-01-31;1.0;Tallahassee;2010-05-08;Men;200 m;19.89;24.28219178082192
139;00:00:19.890000;Warren Weir;JAM;1989-10-31;1.0;London;2013-07-26;Men;200 m;19.89;23.75068493150685
139;00:00:19.890000;Usain Bolt;JAM;1986-08-21;1.0;London;2016-07-22;Men;200 m;19.89;29.93972602739726
151;00:00:19.900000;Michael Johnson;USA;1967-09-13;1.0;Norwalk;1990-06-16;Men;200 m;19.9;22.77260273972603
151;00:00:19.900000;Frank Fredericks;NAM;1967-10-02;1.0;Osaka;1997-05-10;Men;200 m;19.9;29.624657534246577
151;00:00:19.900000;Maurice Greene;USA;1974-07-23;1.0;Sevilla;1999-08-27;Men;200 m;19.9;25.112328767123287
151;00:00:19.900000;Maurice Greene;USA;1974-07-23;2.0;München;1999-09-11;Men;200 m;19.9;25.153424657534245
151;00:00:19.900000;Asafa Powell;JAM;1982-11-23;1.0;Kingston;2006-06-25;Men;200 m;19.9;23.602739726027398
151;00:00:19.900000;Wallace Spearmon;USA;1984-12-24;1.0;Indianapolis;2006-06-25;Men;200 m;19.9;21.515068493150686
151;00:00:19.900000;Wallace Spearmon;USA;1984-12-24;4.0;Lausanne;2006-07-11;Men;200 m;19.9;21.55890410958904
151;00:00:19.900000;Wallace Spearmon;USA;1984-12-24;3.0;Eugene;2008-07-06;Men;200 m;19.9;23.54794520547945
151;00:00:19.900000;Wallace Spearmon;USA;1984-12-24;4.0;London;2012-08-09;Men;200 m;19.9;27.643835616438356
151;00:00:19.900000;Justin Gatlin;USA;1982-02-10;1.0;Eugene;2015-06-28;Men;200 m;19.9;33.4
151;00:00:19.900000;Rasheed Dwyer;JAM;1989-01-29;2.0;Toronto;2015-07-24;Men;200 m;19.9;26.4986301369863
151;00:00:19.900000;Alonso Edward;PAN;1989-12-08;3.0;Toronto;2015-07-24;Men;200 m;19.9;25.64109589041096
151;00:00:19.900000;Wayde van Niekerk;RSA;1992-07-15;1.0;Potchefstroom;2017-04-22;Men;200 m;19.9;24.786301369863015
151;00:00:19.900000;Noah Lyles;USA;1997-07-18;1.0;Shanghai;2017-05-13;Men;200 m;19.9;19.832876712328765
165;00:00:19.910000;Michael Johnson;USA;1967-09-13;1.0;Salamanca;1992-07-13;Men;200 m;19.91;24.84931506849315
165;00:00:19.910000;Michael Johnson;USA;1967-09-13;1.0;Sevilla;2000-06-09;Men;200 m;19.91;32.76164383561644
165;00:00:19.910000;Wallace Spearmon;USA;1984-12-24;1.0;Sacramento;2005-06-11;Men;200 m;19.91;20.476712328767125
165;00:00:19.910000;Wallace Spearmon;USA;1984-12-24;1.0;Carson;2007-05-20;Men;200 m;19.91;22.416438356164385
165;00:00:19.910000;Usain Bolt;JAM;1986-08-21;2.0;Osaka;2007-08-30;Men;200 m;19.91;21.03835616438356
165;00:00:19.910000;Nickel Ashmeade;JAM;1990-04-07;3.0;Bruxelles;2011-09-16;Men;200 m;19.91;21.457534246575342
165;00:00:19.910000;Yohan Blake;JAM;1989-12-26;1.0;Kingston;2012-05-05;Men;200 m;19.91;22.372602739726027
165;00:00:19.910000;Christophe Lemaitre;FRA;1990-06-11;1.0;London;2012-07-14;Men;200 m;19.91;22.106849315068494
165;00:00:19.910000;Ameer Webb;USA;1989-12-21;1.0;Norwalk;2016-04-16;Men;200 m;19.91;26.336986301369862
174;00:00:19.920000;John Carlos;USA;1945-06-05;1.0;Echo Summit;1968-09-12;Men;200 m;19.92;23.28767123287671
174;00:00:19.920000;Carl Lewis;USA;1961-07-01;1.0;Madrid;1987-06-04;Men;200 m;19.92;25.942465753424656
174;00:00:19.920000;Frank Fredericks;NAM;1967-10-02;1.0;Bruxelles;1996-08-23;Men;200 m;19.92;28.912328767123288
174;00:00:19.920000;Frank Fredericks;NAM;1967-10-02;1.0;Melbourne;1999-02-25;Men;200 m;19.92;31.421917808219177
174;00:00:19.920000;Maurice Greene;USA;1974-07-23;1.0;Monaco;1999-08-04;Men;200 m;19.92;25.04931506849315
174;00:00:19.920000;Xavier Carter;USA;1985-12-08;1.0;Zürich;2007-09-07;Men;200 m;19.92;21.76164383561644
174;00:00:19.920000;Jason Young;JAM;1991-03-21;2.0;Bruxelles;2012-09-07;Men;200 m;19.92;21.482191780821918
174;00:00:19.920000;Warren Weir;JAM;1989-10-31;2.0;Saint-Denis;2013-07-06;Men;200 m;19.92;23.695890410958903
174;00:00:19.920000;Justin Gatlin;USA;1982-02-10;1.0;Eugene;2015-06-27;Men;200 m;19.92;33.397260273972606
